model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_features
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,
Random Forest,1.0,0.9626373626373628,1.0,0.9529411764705882,0.5
Random Forest,1.0,0.9670329670329672,1.0,0.9647058823529411,0.7
