model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_min_samples_split
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,2
Random Forest,1.0,0.9582417582417584,1.0,0.9411764705882353,3
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,4
Random Forest,0.9967032967032967,0.9582417582417584,0.9926470588235293,0.9411764705882353,5
Random Forest,0.9950549450549451,0.9582417582417584,0.9882352941176471,0.9352941176470588,6
Random Forest,0.9917582417582418,0.953846153846154,0.9808823529411764,0.9352941176470588,8
Random Forest,0.9901098901098901,0.953846153846154,0.9808823529411764,0.9294117647058824,10
Random Forest,0.989010989010989,0.9516483516483518,0.9794117647058824,0.9294117647058824,12
Random Forest,0.987912087912088,0.9494505494505496,0.9779411764705882,0.9235294117647059,15
Random Forest,0.9873626373626374,0.9472527472527474,0.976470588235294,0.9235294117647059,20
Random Forest,0.9835164835164836,0.9516483516483518,0.9691176470588235,0.9235294117647059,30
Random Forest,0.9818681318681317,0.9494505494505496,0.9647058823529411,0.9235294117647059,40
Random Forest,0.979120879120879,0.9494505494505496,0.9617647058823529,0.9294117647058824,50
Random Forest,0.9708791208791208,0.9494505494505496,0.9632352941176471,0.9294117647058824,75
Random Forest,0.9626373626373625,0.9472527472527472,0.9676470588235293,0.9352941176470588,100
