model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_n_estimators
Random Forest,0.9445054945054945,0.9406593406593406,0.8779411764705882,0.8705882352941176,1,50
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,100
Random Forest,0.939010989010989,0.9318681318681319,0.85,0.8352941176470589,1,150
Random Forest,0.9373626373626374,0.9318681318681319,0.8485294117647058,0.8352941176470589,1,200
Random Forest,0.9395604395604396,0.9296703296703296,0.8558823529411764,0.8294117647058823,1,250
Random Forest,0.9351648351648352,0.9274725274725275,0.8441176470588235,0.8235294117647058,1,300
Random Forest,0.9357142857142857,0.9274725274725275,0.8455882352941178,0.8235294117647058,1,350
Random Forest,0.9307692307692308,0.9252747252747253,0.8323529411764705,0.8176470588235294,1,400
Random Forest,0.9302197802197802,0.9252747252747253,0.8308823529411764,0.8176470588235294,1,450
Random Forest,0.9362637362637363,0.9252747252747253,0.8455882352941178,0.8176470588235294,1,500
Random Forest,0.9571428571428571,0.9428571428571428,0.9073529411764705,0.8941176470588236,2,50
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,100
Random Forest,0.9675824175824175,0.945054945054945,0.9338235294117647,0.9,2,150
Random Forest,0.9686813186813186,0.945054945054945,0.9338235294117648,0.9,2,200
Random Forest,0.9686813186813186,0.945054945054945,0.9308823529411765,0.9,2,250
Random Forest,0.9692307692307691,0.9428571428571428,0.9323529411764706,0.9,2,300
Random Forest,0.9670329670329669,0.9428571428571428,0.9323529411764706,0.9,2,350
Random Forest,0.9697802197802197,0.9428571428571428,0.9352941176470588,0.9,2,400
Random Forest,0.968131868131868,0.9428571428571428,0.9323529411764706,0.9,2,450
Random Forest,0.9692307692307691,0.9406593406593406,0.9338235294117648,0.9,2,500
Random Forest,0.9780219780219779,0.953846153846154,0.948529411764706,0.9117647058823529,3,50
