model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_max_features
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,sqrt
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,log2
Random Forest,0.9472527472527472,0.9296703296703296,0.8970588235294118,0.8529411764705882,1,
Random Forest,0.945054945054945,0.9362637362637363,0.8882352941176471,0.8705882352941176,1,0.5
Random Forest,0.9439560439560439,0.9362637362637363,0.8897058823529411,0.876470588235294,1,0.7
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,sqrt
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,log2
Random Forest,0.9692307692307691,0.9472527472527472,0.95,0.9352941176470588,2,
Random Forest,0.9703296703296702,0.945054945054945,0.9485294117647058,0.9235294117647059,2,0.5
Random Forest,0.9664835164835164,0.9472527472527472,0.95,0.9352941176470588,2,0.7
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,sqrt
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,log2
Random Forest,0.9873626373626374,0.953846153846154,0.9691176470588235,0.9411764705882353,3,
Random Forest,0.982967032967033,0.9560439560439562,0.9632352941176471,0.9411764705882353,3,0.5
Random Forest,0.9846153846153847,0.953846153846154,0.9647058823529411,0.9352941176470588,3,0.7
Random Forest,0.9901098901098901,0.9494505494505496,0.9779411764705882,0.9176470588235295,4,sqrt
Random Forest,0.9901098901098901,0.9494505494505496,0.9779411764705882,0.9176470588235295,4,log2
Random Forest,0.9895604395604396,0.9560439560439562,0.973529411764706,0.9411764705882353,4,
Random Forest,0.989010989010989,0.953846153846154,0.973529411764706,0.9294117647058824,4,0.5
Random Forest,0.9906593406593407,0.9604395604395606,0.976470588235294,0.9470588235294117,4,0.7
Random Forest,0.9923076923076923,0.9582417582417584,0.9808823529411764,0.9294117647058824,5,sqrt
Random Forest,0.9923076923076923,0.9582417582417584,0.9808823529411764,0.9294117647058824,5,log2
Random Forest,0.9950549450549451,0.9604395604395606,0.9867647058823529,0.9529411764705882,5,
Random Forest,0.9928571428571429,0.9626373626373628,0.9808823529411764,0.9529411764705882,5,0.5
Random Forest,0.9928571428571429,0.964835164835165,0.9808823529411764,0.9588235294117646,5,0.7
Random Forest,0.9972527472527473,0.9604395604395606,0.9926470588235293,0.9352941176470588,6,sqrt
Random Forest,0.9972527472527473,0.9604395604395606,0.9926470588235293,0.9352941176470588,6,log2
Random Forest,0.9972527472527473,0.9626373626373628,0.9926470588235293,0.9588235294117646,6,
Random Forest,0.9967032967032967,0.9604395604395606,0.9911764705882353,0.9470588235294117,6,0.5
Random Forest,0.9967032967032967,0.964835164835165,0.9911764705882353,0.9588235294117646,6,0.7
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,7,sqrt
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,7,log2
Random Forest,1.0,0.9626373626373628,1.0,0.9588235294117646,7,
