model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_min_samples_split
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,2
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,3
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,4
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,5
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,6
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,8
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,10
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,12
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,15
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,20
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,30
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,40
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,50
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,75
Random Forest,0.9406593406593406,0.9362637362637363,0.8602941176470589,0.8470588235294118,1,100
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,2
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,3
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,4
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,5
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,6
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,8
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,10
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,12
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,15
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,20
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,30
Random Forest,0.9631868131868131,0.9494505494505496,0.9205882352941176,0.9058823529411765,2,40
Random Forest,0.9631868131868131,0.9472527472527474,0.9205882352941176,0.9058823529411765,2,50
Random Forest,0.9626373626373625,0.9472527472527474,0.9279411764705883,0.9058823529411765,2,75
Random Forest,0.9582417582417582,0.9472527472527472,0.9338235294117648,0.9176470588235295,2,100
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,2
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,3
Random Forest,0.9835164835164836,0.953846153846154,0.9617647058823529,0.9235294117647059,3,4
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,5
Random Forest,0.9818681318681317,0.9560439560439562,0.9573529411764706,0.9235294117647059,3,6
Random Forest,0.9824175824175825,0.953846153846154,0.9588235294117646,0.9235294117647059,3,8
Random Forest,0.9807692307692306,0.953846153846154,0.9558823529411764,0.9235294117647059,3,10
Random Forest,0.9813186813186814,0.9560439560439562,0.9573529411764706,0.9235294117647059,3,12
Random Forest,0.9818681318681319,0.9560439560439562,0.9588235294117646,0.9235294117647059,3,15
Random Forest,0.9796703296703295,0.9516483516483518,0.9544117647058824,0.9176470588235295,3,20
Random Forest,0.9769230769230768,0.9516483516483516,0.9514705882352942,0.9176470588235295,3,30
Random Forest,0.9747252747252746,0.9516483516483516,0.9470588235294117,0.9176470588235295,3,40
Random Forest,0.974175824175824,0.9516483516483516,0.9455882352941177,0.9176470588235295,3,50
Random Forest,0.9670329670329669,0.9516483516483518,0.9529411764705882,0.9235294117647059,3,75
Random Forest,0.9598901098901098,0.9494505494505496,0.9514705882352941,0.9294117647058824,3,100
Random Forest,0.9901098901098901,0.9494505494505496,0.9779411764705882,0.9176470588235295,4,2
Random Forest,0.9895604395604396,0.9494505494505496,0.976470588235294,0.9176470588235295,4,3
Random Forest,0.9901098901098901,0.9494505494505496,0.976470588235294,0.9176470588235295,4,4
Random Forest,0.9895604395604396,0.953846153846154,0.976470588235294,0.9235294117647059,4,5
