model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
Random Forest,0.9895604395604396,0.953846153846154,0.9764705882352942,0.9294117647058824,,3,5,150
Random Forest,0.9906593406593407,0.9560439560439562,0.9764705882352942,0.9294117647058824,,3,5,175
Random Forest,0.989010989010989,0.953846153846154,0.975,0.9294117647058824,,3,5,200
Random Forest,0.9895604395604396,0.953846153846154,0.9764705882352942,0.9294117647058824,,3,5,225
Random Forest,0.9895604395604396,0.9516483516483518,0.9764705882352942,0.9235294117647059,,3,5,250
Random Forest,0.9895604395604396,0.9516483516483518,0.9764705882352942,0.9235294117647059,,3,5,275
Random Forest,0.9895604395604396,0.9516483516483518,0.9764705882352942,0.9235294117647059,,3,5,300
Random Forest,0.9895604395604396,0.953846153846154,0.9779411764705882,0.9235294117647059,,3,7,50
Random Forest,0.9895604395604396,0.9560439560439562,0.9779411764705882,0.9294117647058824,,3,7,75
Random Forest,0.9895604395604396,0.9560439560439562,0.9779411764705882,0.9352941176470588,,3,7,100
Random Forest,0.9895604395604396,0.9560439560439562,0.9794117647058822,0.9352941176470588,,3,7,125
Random Forest,0.9884615384615385,0.9516483516483518,0.975,0.9235294117647059,,3,7,150
Random Forest,0.9884615384615385,0.953846153846154,0.973529411764706,0.9294117647058824,,3,7,175
Random Forest,0.9884615384615385,0.953846153846154,0.975,0.9294117647058824,,3,7,200
Random Forest,0.9884615384615385,0.9516483516483518,0.975,0.9235294117647059,,3,7,225
Random Forest,0.9884615384615385,0.9516483516483518,0.975,0.9235294117647059,,3,7,250
Random Forest,0.989010989010989,0.9494505494505496,0.975,0.9176470588235295,,3,7,275
Random Forest,0.989010989010989,0.9494505494505496,0.975,0.9176470588235295,,3,7,300
Random Forest,0.9873626373626374,0.953846153846154,0.9735294117647058,0.9235294117647059,,3,10,50
Random Forest,0.9868131868131869,0.9516483516483518,0.9735294117647058,0.9235294117647059,,3,10,75
Random Forest,0.9873626373626374,0.953846153846154,0.975,0.9294117647058824,,3,10,100
Random Forest,0.9862637362637363,0.9560439560439562,0.9720588235294118,0.9294117647058824,,3,10,125
Random Forest,0.9862637362637363,0.9516483516483518,0.9720588235294118,0.9235294117647059,,3,10,150
Random Forest,0.9862637362637363,0.9516483516483518,0.9720588235294118,0.9235294117647059,,3,10,175
Random Forest,0.9862637362637363,0.9516483516483518,0.9720588235294118,0.9235294117647059,,3,10,200
Random Forest,0.9857142857142858,0.9516483516483518,0.9705882352941178,0.9235294117647059,,3,10,225
Random Forest,0.9857142857142858,0.9516483516483518,0.9705882352941178,0.9235294117647059,,3,10,250
Random Forest,0.9862637362637363,0.9516483516483518,0.9705882352941178,0.9235294117647059,,3,10,275
Random Forest,0.9862637362637363,0.9516483516483518,0.9705882352941178,0.9235294117647059,,3,10,300
Random Forest,0.9862637362637363,0.953846153846154,0.9705882352941178,0.9235294117647059,,4,2,50
Random Forest,0.987912087912088,0.9516483516483518,0.975,0.9235294117647059,,4,2,75
Random Forest,0.9868131868131869,0.9582417582417584,0.9735294117647058,0.9352941176470588,,4,2,100
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,2,125
Random Forest,0.9868131868131869,0.953846153846154,0.9735294117647058,0.9294117647058824,,4,2,150
Random Forest,0.9857142857142858,0.953846153846154,0.9705882352941178,0.9294117647058824,,4,2,175
Random Forest,0.9857142857142858,0.9560439560439562,0.9705882352941178,0.9352941176470588,,4,2,200
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,2,225
Random Forest,0.9862637362637363,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,2,250
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,2,275
Random Forest,0.9868131868131869,0.9516483516483518,0.972058823529412,0.9235294117647059,,4,2,300
