model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_n_neighbors,param_p,param_weights
KNN,1.0,0.9428571428571428,1.0,0.9,1,1,uniform
KNN,1.0,0.9428571428571428,1.0,0.9,1,1,distance
KNN,1.0,0.945054945054945,1.0,0.9058823529411765,1,2,uniform
KNN,1.0,0.945054945054945,1.0,0.9058823529411765,1,2,distance
KNN,0.9796703296703295,0.9604395604395606,0.95,0.911764705882353,3,1,uniform
KNN,1.0,0.9604395604395606,1.0,0.911764705882353,3,1,distance
KNN,0.9802197802197803,0.956043956043956,0.9544117647058823,0.911764705882353,3,2,uniform
KNN,1.0,0.956043956043956,1.0,0.911764705882353,3,2,distance
KNN,0.9714285714285713,0.9582417582417584,0.9279411764705883,0.9058823529411765,5,1,uniform
KNN,1.0,0.9582417582417584,1.0,0.9058823529411765,5,1,distance
KNN,0.9708791208791208,0.9560439560439562,0.9294117647058823,0.9,5,2,uniform
KNN,1.0,0.9560439560439562,1.0,0.9,5,2,distance
KNN,0.9686813186813186,0.9626373626373628,0.925,0.911764705882353,7,1,uniform
KNN,1.0,0.9626373626373628,1.0,0.911764705882353,7,1,distance
KNN,0.9675824175824175,0.956043956043956,0.9205882352941176,0.8941176470588236,7,2,uniform
KNN,1.0,0.956043956043956,1.0,0.8941176470588236,7,2,distance
KNN,0.9659340659340658,0.9582417582417584,0.9161764705882354,0.9,9,1,uniform
KNN,1.0,0.9582417582417584,1.0,0.9,9,1,distance
KNN,0.9664835164835164,0.9604395604395606,0.9147058823529411,0.9058823529411765,9,2,uniform
KNN,1.0,0.9604395604395606,1.0,0.9058823529411765,9,2,distance
KNN,0.9637362637362636,0.9582417582417584,0.9117647058823529,0.9,11,1,uniform
KNN,1.0,0.9582417582417584,1.0,0.9,11,1,distance
KNN,0.9675824175824175,0.9604395604395606,0.9176470588235294,0.9,11,2,uniform
KNN,1.0,0.9604395604395606,1.0,0.9,11,2,distance
KNN,0.962087912087912,0.9582417582417582,0.9044117647058822,0.8941176470588236,13,1,uniform
KNN,1.0,0.9582417582417582,1.0,0.8941176470588236,13,1,distance
KNN,0.9664835164835164,0.9582417582417582,0.9132352941176471,0.8941176470588236,13,2,uniform
KNN,1.0,0.9582417582417582,1.0,0.8941176470588236,13,2,distance
KNN,0.9615384615384615,0.9604395604395606,0.901470588235294,0.9,15,1,uniform
KNN,1.0,0.9604395604395606,1.0,0.9,15,1,distance
KNN,0.9598901098901098,0.9582417582417582,0.8941176470588236,0.8941176470588236,15,2,uniform
KNN,1.0,0.9582417582417582,1.0,0.8941176470588236,15,2,distance
KNN,0.9593406593406593,0.9582417582417584,0.8970588235294118,0.8941176470588236,17,1,uniform
KNN,1.0,0.9582417582417584,1.0,0.8941176470588236,17,1,distance
KNN,0.9565934065934065,0.9538461538461538,0.8852941176470589,0.8882352941176469,17,2,uniform
KNN,1.0,0.9538461538461538,1.0,0.8882352941176469,17,2,distance
KNN,0.9543956043956043,0.9472527472527472,0.8794117647058824,0.8647058823529411,20,1,uniform
KNN,1.0,0.9582417582417582,1.0,0.8941176470588236,20,1,distance
KNN,0.9516483516483516,0.9516483516483516,0.8720588235294118,0.8705882352941176,20,2,uniform
KNN,1.0,0.9516483516483516,1.0,0.876470588235294,20,2,distance
KNN,0.951098901098901,0.9472527472527472,0.873529411764706,0.8647058823529411,25,1,uniform
KNN,1.0,0.9494505494505494,1.0,0.8705882352941176,25,1,distance
KNN,0.9571428571428571,0.9494505494505494,0.8867647058823529,0.8705882352941176,25,2,uniform
KNN,1.0,0.9494505494505494,1.0,0.8705882352941176,25,2,distance
KNN,0.9472527472527472,0.9472527472527472,0.8602941176470587,0.8647058823529411,30,1,uniform
KNN,1.0,0.9494505494505494,1.0,0.8705882352941176,30,1,distance
KNN,0.9494505494505494,0.9516483516483516,0.8661764705882351,0.8705882352941176,30,2,uniform
KNN,1.0,0.9494505494505494,1.0,0.8705882352941176,30,2,distance
